골프장명,루프명,홀번호,Par
파주컨트리클럽,동코스,1,4
파주컨트리클럽,동코스,2,4
파주컨트리클럽,동코스,3,3
파주컨트리클럽,동코스,4,5
파주컨트리클럽,동코스,5,3
파주컨트리클럽,동코스,6,5
파주컨트리클럽,동코스,7,4
파주컨트리클럽,동코스,8,4
파주컨트리클럽,동코스,9,4
파주컨트리클럽,서코스,1,4
파주컨트리클럽,서코스,2,4
파주컨트리클럽,서코스,3,5
파주컨트리클럽,서코스,4,3
파주컨트리클럽,서코스,5,4
파주컨트리클럽,서코스,6,4
파주컨트리클럽,서코스,7,3
파주컨트리클럽,서코스,8,5
파주컨트리클럽,서코스,9,4
